InnerIters,OuterIters,PicardIters,ResidualReductions,SimTime
5,1,1,7.208121606694191e-10,1996.875
5,1,2,7.213809592123567e-10,1996.875
5,1,3,1.7758725423736276e-09,1996.875
5,1,4,1.395522897705712e-08,1996.875
5,1,1,7.233368487174902e-10,2025.0
5,1,2,7.237560133750466e-10,2025.0
5,1,3,1.8037303405186625e-09,2025.0
5,1,4,1.4275451971089934e-08,2025.0
5,1,1,7.237896519158396e-10,2053.125
5,1,2,7.240589694439554e-10,2053.125
5,1,3,1.8580687952306844e-09,2053.125
5,1,4,1.485767028044993e-08,2053.125
5,1,1,7.231007763708232e-10,2081.25
5,1,2,7.233808278390198e-10,2081.25
5,1,3,1.8662005540999048e-09,2081.25
5,1,4,1.5240659322971067e-08,2081.25
5,1,1,7.230757688849206e-10,2109.375
5,1,2,7.234676060122324e-10,2109.375
5,1,3,1.8510296369688492e-09,2109.375
5,1,4,1.544474292955711e-08,2109.375
5,1,1,7.231228122142927e-10,2137.5
5,1,2,7.234470309190753e-10,2137.5
5,1,3,1.8623542249019675e-09,2137.5
5,1,4,1.6011731141086058e-08,2137.5
5,1,1,7.218903591273422e-10,2165.625
5,1,2,7.221579440500194e-10,2165.625
5,1,3,1.9075697554541744e-09,2165.625
5,1,4,1.6670641223650922e-08,2165.625
5,1,1,7.201545008478618e-10,2193.75
5,1,2,7.20443362278095e-10,2193.75
5,1,3,1.9303140776395195e-09,2193.75
5,1,4,1.6895460055547585e-08,2193.75
5,1,1,7.19722153181696e-10,2221.875
5,1,2,7.201217530907162e-10,2221.875
5,1,3,1.908033483289224e-09,2221.875
5,1,4,1.7205088890270766e-08,2221.875
5,1,1,7.2064656611994e-10,2250.0
5,1,2,7.21090353451004e-10,2250.0
5,1,3,1.9088630190840494e-09,2250.0
5,1,4,1.7853852479004598e-08,2250.0
5,1,1,7.213426172251378e-10,2278.125
5,1,2,7.217411961082271e-10,2278.125
5,1,3,1.944466060764592e-09,2278.125
5,1,4,1.8309388004947877e-08,2278.125
5,1,1,7.2134770928295e-10,2306.25
5,1,2,7.216851522123695e-10,2306.25
5,1,3,1.975487103312805e-09,2306.25
5,1,4,1.8581146417193783e-08,2306.25
5,1,1,7.214905787232346e-10,2334.375
5,1,2,7.218837415675417e-10,2334.375
5,1,3,1.956332754690003e-09,2334.375
